age,state,income,weight
2.0,TX,0.0,271530.1661605835
2.0,UT,0.0,37466.589782714844
2.0,VA,0.0,107805.70600891113
2.0,VT,0.0,18376.17568588257
2.0,WA,0.0,68331.49157714844
2.0,WI,0.0,41027.65207672119
2.0,WV,0.0,48246.465087890625
2.0,WY,0.0,9042.891227722168
3.0,AK,0.0,8997.2470703125
3.0,AL,0.0,65465.62150478363
3.0,AR,0.0,56024.51138305664
3.0,AZ,0.0,70711.18307495117
3.0,CA,0.0,318015.5350036621
3.0,CO,0.0,50974.89196777344
3.0,CT,0.0,28132.978225708008
3.0,DC,0.0,6334.255874633789
3.0,DE,0.0,25408.240692138672
3.0,FL,0.0,173752.7953491211
3.0,GA,0.0,86333.22338867188
3.0,HI,0.0,10168.016967773438
3.0,IA,0.0,69674.78679943085
3.0,ID,0.0,21317.706665039062
3.0,IL,0.0,120510.61791992188
3.0,IN,0.0,70564.08492350578
3.0,KS,0.0,55750.105529785156
3.0,KY,0.0,57131.76301574707
3.0,LA,0.0,67065.8080444336
3.0,MA,0.0,57815.07986450195
3.0,MD,0.0,81076.19286727905
3.0,ME,0.0,10808.601745605469
3.0,MI,0.0,97006.47315216064
3.0,MN,0.0,49104.04650878906
3.0,MO,0.0,70707.69114685059
3.0,MS,0.0,51292.767669677734
3.0,MT,0.0,46056.45202636719
3.0,NC,0.0,67753.31355285645
3.0,ND,0.0,21810.030715942383
3.0,NE,0.0,15934.838470458984
3.0,NH,0.0,36865.80928039551
3.0,NJ,0.0,63205.473876953125
3.0,NM,0.0,32386.797313690186
3.0,NV,0.0,45209.49249267578
3.0,NY,0.0,173800.96641540527
3.0,OH,0.0,130089.35087585449
3.0,OK,0.0,73628.26745605469
3.0,OR,0.0,38975.682693481445
3.0,PA,0.0,149924.51495361328
3.0,RI,0.0,42958.09976196289
3.0,SC,0.0,66102.64870262146
3.0,SD,0.0,24764.226593017578
3.0,TN,0.0,67826.26300048828
3.0,TX,0.0,375557.5939025879
3.0,UT,0.0,30875.328704833984
3.0,VA,0.0,59677.05928993225
3.0,VT,0.0,26033.166397094727
3.0,WA,0.0,66074.46060180664
3.0,WI,0.0,60508.64024353027
3.0,WV,0.0,31304.061096191406
3.0,WY,0.0,13009.449096679688
4.0,AK,0.0,25843.902030944824
4.0,AL,0.0,50779.65463256836
